[prod_bias=0.01 lex_bias=0.01] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p01_lb0p01_results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 100, maxits = (-n) = 300, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16693e+07	10.508
2	1	21361	1.15591e+07	10.4087
3	1	17941	1.14814e+07	10.3388
4	1	16218	1.14581e+07	10.3178
5	1	15267	1.14626e+07	10.3219
6	1	14728	1.14677e+07	10.3265
7	1	14354	1.14687e+07	10.3273
8	1	14077	1.14668e+07	10.3256
9	1	13909	1.14616e+07	10.321
10	1	13778	1.14527e+07	10.3129
11	1	13683	1.14395e+07	10.301
12	1	13603	1.14231e+07	10.2863
13	1	13525	1.14063e+07	10.2712
14	1	13456	1.13916e+07	10.2579
15	1	13376	1.13803e+07	10.2477
16	1	13297	1.13728e+07	10.2409
17	1	13244	1.13683e+07	10.2369
18	1	13184	1.13657e+07	10.2345
19	1	13108	1.13638e+07	10.2329
20	1	12974	1.13618e+07	10.231
21	1	12805	1.13599e+07	10.2294
22	1	12676	1.13581e+07	10.2277
23	1	12485	1.13562e+07	10.226
24	1	12319	1.13546e+07	10.2246
25	1	12174	1.13533e+07	10.2234
26	1	12036	1.13523e+07	10.2225
27	1	11939	1.13516e+07	10.2218
28	1	11859	1.13509e+07	10.2213
29	1	11790	1.13504e+07	10.2208
30	1	11716	1.13498e+07	10.2203
31	1	11655	1.13492e+07	10.2198
32	1	11563	1.13487e+07	10.2193
33	1	11490	1.13482e+07	10.2188
34	1	11416	1.13476e+07	10.2183
35	1	11326	1.13471e+07	10.2178
36	1	11260	1.13465e+07	10.2173
37	1	11186	1.13459e+07	10.2167
38	1	11118	1.13451e+07	10.2161
39	1	11051	1.13443e+07	10.2153
40	1	10984	1.13431e+07	10.2142
41	1	10916	1.13416e+07	10.2129
42	1	10862	1.13396e+07	10.2111
43	1	10795	1.13368e+07	10.2085
44	1	10724	1.1333e+07	10.2051
45	1	10647	1.13281e+07	10.2007
46	1	10560	1.1322e+07	10.1953
47	1	10502	1.1315e+07	10.1889
48	1	10431	1.13072e+07	10.1819
49	1	10358	1.12992e+07	10.1747
50	1	10265	1.12916e+07	10.1679
51	1	10184	1.12847e+07	10.1616
52	1	10105	1.12786e+07	10.1562
53	1	10037	1.12735e+07	10.1515
54	1	9957	1.12692e+07	10.1477
55	1	9903	1.12657e+07	10.1445
56	1	9856	1.12629e+07	10.142
57	1	9800	1.12606e+07	10.1399
58	1	9756	1.12587e+07	10.1382
59	1	9726	1.12573e+07	10.1369
60	1	9701	1.12561e+07	10.1359
61	1	9679	1.12551e+07	10.135
62	1	9655	1.12544e+07	10.1343
63	1	9635	1.12537e+07	10.1337
64	1	9623	1.12532e+07	10.1333
65	1	9603	1.12528e+07	10.1329
66	1	9588	1.12524e+07	10.1326
67	1	9575	1.12522e+07	10.1323
68	1	9569	1.12519e+07	10.1321
69	1	9563	1.12517e+07	10.132
70	1	9552	1.12516e+07	10.1318
71	1	9545	1.12514e+07	10.1317
72	1	9538	1.12513e+07	10.1315
73	1	9533	1.12511e+07	10.1314
74	1	9527	1.1251e+07	10.1313
75	1	9519	1.12509e+07	10.1312
76	1	9514	1.12508e+07	10.1311
77	1	9502	1.12507e+07	10.131
78	1	9498	1.12506e+07	10.1309
79	1	9494	1.12505e+07	10.1308
80	1	9489	1.12504e+07	10.1308
81	1	9485	1.12504e+07	10.1307
82	1	9483	1.12503e+07	10.1307
83	1	9480	1.12503e+07	10.1306
84	1	9479	1.12502e+07	10.1306
85	1	9473	1.12502e+07	10.1305
86	1	9472	1.12501e+07	10.1305
87	1	9471	1.12501e+07	10.1305
88	1	9468	1.125e+07	10.1304
89	1	9465	1.125e+07	10.1304
90	1	9460	1.12499e+07	10.1303
91	1	9457	1.12499e+07	10.1303
92	1	9455	1.12499e+07	10.1303
93	1	9452	1.12498e+07	10.1302
94	1	9451	1.12498e+07	10.1302
95	1	9449	1.12497e+07	10.1302
96	1	9446	1.12497e+07	10.1301
97	1	9444	1.12497e+07	10.1301
98	1	9444	1.12496e+07	10.1301
99	1	9443	1.12496e+07	10.13
100	1	9441	1.12496e+07	10.13
101	1	9441	1.12496e+07	10.13
102	1	9440	1.12495e+07	10.13
103	1	9439	1.12495e+07	10.1299
104	1	9438	1.12495e+07	10.1299
105	1	9436	1.12495e+07	10.1299
106	1	9435	1.12494e+07	10.1299
107	1	9433	1.12494e+07	10.1298
108	1	9431	1.12494e+07	10.1298
109	1	9426	1.12493e+07	10.1298
110	1	9424	1.12493e+07	10.1298
111	1	9423	1.12493e+07	10.1298
112	1	9422	1.12493e+07	10.1297
113	1	9422	1.12493e+07	10.1297
114	1	9422	1.12492e+07	10.1297
115	1	9422	1.12492e+07	10.1297
116	1	9422	1.12492e+07	10.1297
117	1	9422	1.12492e+07	10.1297
118	1	9422	1.12492e+07	10.1296
119	1	9420	1.12492e+07	10.1296
