[prod_bias=0.1 lex_bias=0.01] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p01_primed_20251219_1901/results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16404e+07	10.4819
2	1	21378	1.15323e+07	10.3846
3	1	17938	1.14553e+07	10.3152
4	1	16131	1.14293e+07	10.2918
5	1	14903	1.14286e+07	10.2912
6	1	13996	1.14286e+07	10.2912
7	1	13323	1.14252e+07	10.2881
8	1	12891	1.1418e+07	10.2817
9	1	12511	1.14074e+07	10.2721
10	1	12187	1.13936e+07	10.2597
11	1	11933	1.13775e+07	10.2452
12	1	11740	1.13599e+07	10.2294
13	1	11553	1.13422e+07	10.2134
14	1	11406	1.13251e+07	10.198
15	1	11253	1.1309e+07	10.1835
16	1	11129	1.1294e+07	10.17
17	1	11008	1.12803e+07	10.1576
18	1	10883	1.12683e+07	10.1469
19	1	10778	1.12582e+07	10.1377
20	1	10688	1.12495e+07	10.13
21	1	10618	1.12421e+07	10.1232
22	1	10553	1.12356e+07	10.1174
23	1	10475	1.12301e+07	10.1125
24	1	10399	1.12256e+07	10.1084
25	1	10342	1.12217e+07	10.1049
26	1	10293	1.12184e+07	10.102
27	1	10247	1.12158e+07	10.0996
28	1	10214	1.12137e+07	10.0977
29	1	10178	1.1212e+07	10.0962
30	1	10134	1.12107e+07	10.095
31	1	10107	1.12097e+07	10.0941
32	1	10095	1.12088e+07	10.0933
33	1	10072	1.12082e+07	10.0927
34	1	10057	1.12076e+07	10.0922
35	1	10044	1.1207e+07	10.0917
36	1	10022	1.12066e+07	10.0913
37	1	10004	1.12061e+07	10.0909
38	1	9990	1.12058e+07	10.0906
39	1	9975	1.12054e+07	10.0903
40	1	9966	1.12051e+07	10.09
41	1	9956	1.12048e+07	10.0897
42	1	9949	1.12045e+07	10.0894
43	1	9943	1.12042e+07	10.0892
44	1	9933	1.12039e+07	10.0889
45	1	9927	1.12036e+07	10.0886
46	1	9920	1.12033e+07	10.0884
47	1	9916	1.1203e+07	10.0881
48	1	9912	1.12027e+07	10.0878
49	1	9910	1.12025e+07	10.0876
50	1	9907	1.12022e+07	10.0873
51	1	9904	1.12019e+07	10.0871
52	1	9900	1.12016e+07	10.0868
53	1	9898	1.12013e+07	10.0865
54	1	9896	1.1201e+07	10.0863
55	1	9892	1.12007e+07	10.086
56	1	9889	1.12005e+07	10.0858
57	1	9889	1.12002e+07	10.0855
# run 0, entropy 10.0855, 9889 rules
