[prod_bias=0.1 lex_bias=0.01] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p01_primed_20251219_1835/results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16528e+07	10.4931
2	1	21376	1.15444e+07	10.3955
3	1	17929	1.14674e+07	10.3261
4	1	16146	1.14417e+07	10.303
5	1	14903	1.14422e+07	10.3035
6	1	13947	1.14448e+07	10.3058
7	1	13306	1.14455e+07	10.3064
8	1	12941	1.14447e+07	10.3057
9	1	12626	1.14428e+07	10.304
10	1	12350	1.14402e+07	10.3017
11	1	12124	1.1437e+07	10.2988
12	1	11932	1.1433e+07	10.2952
13	1	11767	1.14278e+07	10.2905
14	1	11608	1.14211e+07	10.2844
15	1	11474	1.14124e+07	10.2766
16	1	11337	1.14016e+07	10.2669
17	1	11220	1.13889e+07	10.2554
18	1	11102	1.13748e+07	10.2428
19	1	11009	1.13602e+07	10.2297
20	1	10912	1.13458e+07	10.2167
21	1	10827	1.1332e+07	10.2042
22	1	10723	1.13189e+07	10.1924
23	1	10627	1.13063e+07	10.1811
24	1	10549	1.12945e+07	10.1705
25	1	10480	1.1284e+07	10.161
26	1	10423	1.12749e+07	10.1528
27	1	10358	1.12673e+07	10.146
28	1	10286	1.12608e+07	10.1401
29	1	10234	1.12553e+07	10.1351
30	1	10174	1.12505e+07	10.1308
31	1	10136	1.12463e+07	10.1271
32	1	10096	1.12428e+07	10.1239
33	1	10063	1.12399e+07	10.1213
34	1	10032	1.12375e+07	10.1191
35	1	10010	1.12354e+07	10.1173
36	1	9982	1.12338e+07	10.1158
37	1	9959	1.12323e+07	10.1145
38	1	9938	1.12312e+07	10.1134
39	1	9920	1.12302e+07	10.1125
40	1	9901	1.12293e+07	10.1117
41	1	9892	1.12285e+07	10.1111
42	1	9881	1.12279e+07	10.1104
43	1	9869	1.12272e+07	10.1099
44	1	9859	1.12267e+07	10.1094
45	1	9848	1.12262e+07	10.109
46	1	9838	1.12257e+07	10.1085
47	1	9829	1.12253e+07	10.1081
48	1	9821	1.12249e+07	10.1078
49	1	9814	1.12245e+07	10.1075
50	1	9807	1.12242e+07	10.1071
51	1	9803	1.12238e+07	10.1068
52	1	9801	1.12235e+07	10.1065
53	1	9793	1.12232e+07	10.1062
54	1	9786	1.12228e+07	10.1059
55	1	9784	1.12225e+07	10.1056
56	1	9779	1.12222e+07	10.1054
57	1	9774	1.12219e+07	10.1051
58	1	9773	1.12217e+07	10.1049
59	1	9767	1.12214e+07	10.1046
60	1	9767	1.12211e+07	10.1044
# run 0, entropy 10.1044, 9767 rules
