[prod_bias=0.1 lex_bias=0.1] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p1_primed_20251219_1814/results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.15779e+07	10.4257
2	1	25341	1.14979e+07	10.3536
3	1	25341	1.14362e+07	10.2981
4	1	25341	1.14154e+07	10.2793
5	1	25341	1.14197e+07	10.2832
6	1	25341	1.14242e+07	10.2872
7	1	25341	1.14253e+07	10.2883
8	1	25341	1.14244e+07	10.2874
9	1	25341	1.14216e+07	10.2849
10	1	25341	1.14174e+07	10.2811
11	1	25341	1.14119e+07	10.2761
12	1	25341	1.14047e+07	10.2697
13	1	25341	1.13951e+07	10.261
14	1	25341	1.13822e+07	10.2494
15	1	25341	1.13662e+07	10.235
16	1	25341	1.13482e+07	10.2188
17	1	25341	1.133e+07	10.2024
18	1	25341	1.13127e+07	10.1869
19	1	25341	1.12968e+07	10.1725
20	1	25341	1.12825e+07	10.1597
21	1	25341	1.127e+07	10.1484
22	1	25341	1.12593e+07	10.1387
23	1	25341	1.12504e+07	10.1308
24	1	25341	1.12431e+07	10.1242
25	1	25341	1.12372e+07	10.1188
26	1	25341	1.12324e+07	10.1146
27	1	25341	1.12288e+07	10.1113
28	1	25341	1.12259e+07	10.1087
29	1	25341	1.12238e+07	10.1068
30	1	25341	1.12222e+07	10.1053
31	1	25341	1.12209e+07	10.1042
32	1	25341	1.12199e+07	10.1033
33	1	25341	1.12191e+07	10.1026
34	1	25341	1.12185e+07	10.102
35	1	25341	1.12179e+07	10.1014
36	1	25341	1.12173e+07	10.101
37	1	25341	1.12169e+07	10.1005
38	1	25341	1.12165e+07	10.1002
39	1	25341	1.12161e+07	10.0998
40	1	25341	1.12157e+07	10.0995
41	1	25341	1.12153e+07	10.0992
42	1	25341	1.1215e+07	10.0989
43	1	25341	1.12147e+07	10.0986
44	1	25341	1.12143e+07	10.0982
45	1	25341	1.12139e+07	10.0979
46	1	25341	1.12136e+07	10.0976
47	1	25341	1.12132e+07	10.0973
48	1	25341	1.12129e+07	10.097
49	1	25341	1.12125e+07	10.0967
50	1	25341	1.12122e+07	10.0964
# run 0, entropy 10.0964, 25341 rules
