[prod_bias=0.1 lex_bias=0.01] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p01_primed_20251220_0855/results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16301e+07	10.4726
2	1	21376	1.15216e+07	10.375
3	1	17929	1.14445e+07	10.3055
4	1	16042	1.14179e+07	10.2815
5	1	14703	1.14166e+07	10.2804
6	1	13812	1.14166e+07	10.2804
7	1	13221	1.14131e+07	10.2772
8	1	12805	1.14056e+07	10.2705
9	1	12441	1.13943e+07	10.2603
10	1	12124	1.138e+07	10.2475
11	1	11894	1.13636e+07	10.2327
12	1	11695	1.13463e+07	10.2171
13	1	11518	1.13293e+07	10.2018
14	1	11358	1.13134e+07	10.1875
15	1	11215	1.12989e+07	10.1744
16	1	11076	1.12857e+07	10.1626
17	1	10971	1.12738e+07	10.1518
18	1	10863	1.12633e+07	10.1424
19	1	10757	1.12542e+07	10.1341
20	1	10676	1.12462e+07	10.127
21	1	10610	1.12393e+07	10.1207
22	1	10537	1.12332e+07	10.1153
23	1	10459	1.12281e+07	10.1107
24	1	10390	1.12239e+07	10.1069
25	1	10332	1.12204e+07	10.1038
26	1	10285	1.12175e+07	10.1012
27	1	10243	1.12151e+07	10.099
28	1	10202	1.12131e+07	10.0972
29	1	10173	1.12115e+07	10.0957
30	1	10140	1.12102e+07	10.0946
31	1	10120	1.12092e+07	10.0936
32	1	10101	1.12083e+07	10.0929
33	1	10082	1.12076e+07	10.0922
34	1	10070	1.1207e+07	10.0917
35	1	10052	1.12065e+07	10.0912
36	1	10027	1.1206e+07	10.0908
37	1	10014	1.12056e+07	10.0904
38	1	10003	1.12053e+07	10.0901
39	1	9993	1.12049e+07	10.0898
40	1	9981	1.12046e+07	10.0895
41	1	9971	1.12042e+07	10.0892
42	1	9956	1.12039e+07	10.0889
43	1	9948	1.12036e+07	10.0886
44	1	9943	1.12033e+07	10.0884
45	1	9939	1.12031e+07	10.0881
46	1	9936	1.12028e+07	10.0878
47	1	9932	1.12025e+07	10.0876
48	1	9927	1.12022e+07	10.0873
49	1	9927	1.12019e+07	10.0871
50	1	9922	1.12016e+07	10.0868
51	1	9920	1.12014e+07	10.0866
52	1	9914	1.12011e+07	10.0863
53	1	9911	1.12008e+07	10.0861
54	1	9906	1.12005e+07	10.0858
55	1	9904	1.12002e+07	10.0856
56	1	9901	1.12e+07	10.0853
57	1	9900	1.11997e+07	10.0851
58	1	9897	1.11994e+07	10.0849
59	1	9893	1.11992e+07	10.0846
60	1	9893	1.11989e+07	10.0844
# run 0, entropy 10.0844, 9893 rules
