[prod_bias=1.0 lex_bias=0.05] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb1p0_lb0p05_results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16248e+07	10.4678
2	1	25341	1.15358e+07	10.3877
3	1	25341	1.14663e+07	10.3252
4	1	25341	1.14444e+07	10.3054
5	1	25341	1.14493e+07	10.3098
6	1	25341	1.14535e+07	10.3136
7	1	25341	1.14528e+07	10.313
8	1	25341	1.14481e+07	10.3087
9	1	25341	1.14384e+07	10.3
10	1	25341	1.1423e+07	10.2862
11	1	25341	1.14034e+07	10.2685
12	1	25341	1.1383e+07	10.2501
13	1	25341	1.13654e+07	10.2343
14	1	25341	1.13526e+07	10.2228
15	1	25341	1.13446e+07	10.2156
16	1	25341	1.13401e+07	10.2116
17	1	25341	1.13377e+07	10.2093
18	1	25341	1.13363e+07	10.2081
19	1	25341	1.13354e+07	10.2073
20	1	25341	1.13348e+07	10.2068
21	1	25341	1.13344e+07	10.2064
22	1	25341	1.13341e+07	10.2061
23	1	25341	1.13338e+07	10.2059
24	1	25341	1.13336e+07	10.2057
25	1	25341	1.13335e+07	10.2055
26	1	25341	1.13333e+07	10.2054
27	1	25341	1.1333e+07	10.2051
28	1	25341	1.13325e+07	10.2047
29	1	25341	1.13315e+07	10.2038
30	1	25341	1.133e+07	10.2024
31	1	25341	1.13286e+07	10.2011
32	1	25341	1.13273e+07	10.2
33	1	25341	1.13264e+07	10.1991
34	1	25341	1.13257e+07	10.1985
35	1	25341	1.13251e+07	10.198
36	1	25341	1.13246e+07	10.1975
37	1	25341	1.13241e+07	10.1971
38	1	25341	1.13236e+07	10.1966
39	1	25341	1.1323e+07	10.1961
40	1	25341	1.13225e+07	10.1957
41	1	25341	1.13219e+07	10.1951
42	1	25341	1.13212e+07	10.1945
43	1	25341	1.13205e+07	10.1938
44	1	25341	1.13196e+07	10.193
45	1	25341	1.13184e+07	10.192
46	1	25341	1.13169e+07	10.1907
47	1	25341	1.13149e+07	10.1889
48	1	25341	1.13121e+07	10.1864
49	1	25341	1.13083e+07	10.1829
50	1	25341	1.13034e+07	10.1785
# run 0, entropy 10.1785, 25341 rules
