dir	base	stage	s_p	s_l	eta	ADJ	ADV	AUX	NNS	NOUNP	ROOT	VERB	VERBP	VOC	ADJP	ADPP	ADVP	DETDEF	DETP	DETS	INTJP	JJDEF	JJS	NNDEF	NUMP	PARTP	PRONDEF	PRONS	SBAR	SCONJP	SQ	WHADVP	WHNP	WHQP	CCONJP
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	01	0.005	0.1	0.005	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	02	0.005	0.1	0.005	0.12964	0.07114	0.629217	0.163045	0.717174	0.77768	0.478673	0.763339	0.324407	0.641337	0.662133	0.580215	0.17609	0.728044	0.003638		0.000444	0.001507	0.015389	0.549181	0.372771	0.027327	0.061463							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	03	0.005	0.1	0.005	0.080749	0.059636	0.620176	0.139414	0.701974	0.72234	0.160303	0.704507	0.389492	0.645352	0.560441	0.536056	0.189602	0.738049	0.005904		0.003867	0.000817	0.01397	0.553714	0.369623	0.027372	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	04	0.005	0.1	0.005	0.068994	0.05291	0.623951	0.137102	0.677838	0.576784	0.175098	0.687107	0.404696	0.6293	0.580179	0.522811	0.202649	0.726899	0.00676		0.003422	6.9e-05	0.013254	0.517244	0.387786	0.027401	0.061466	0.510059	0.010863	0.774891	0.035183	0.537985	0.049007	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	05	0.005	0.1	0.005	0.06899	0.052202	0.620295	0.133491	0.670687	0.555156	0.186843	0.689187	0.397142	0.626806	0.574064	0.531608	0.212722	0.731314	0.006433	0.735374	0.003099	1.9e-05	0.012981	0.517492	0.418993	0.027424	0.061466	0.480451	0.010841	0.774082	0.014045	0.532712	0.030309	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	01	0.005	0.1	0.01	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	02	0.005	0.1	0.01	0.129632	0.071137	0.629217	0.163027	0.717177	0.777681	0.478672	0.76334	0.324408	0.641337	0.66214	0.580215	0.175569	0.728045	0.003675		0.000446	0.001502	0.015355	0.549184	0.372771	0.02678	0.061397							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	03	0.005	0.1	0.01	0.080749	0.059635	0.620104	0.139435	0.701999	0.72246	0.159882	0.704536	0.38949	0.645213	0.560375	0.536064	0.189162	0.737676	0.005937		0.003867	0.000817	0.013971	0.553387	0.369688	0.026823	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	04	0.005	0.1	0.01	0.068994	0.052908	0.623918	0.137153	0.677889	0.576765	0.174906	0.687097	0.404779	0.629377	0.580133	0.522821	0.202328	0.726206	0.006777		0.003422	6.9e-05	0.013255	0.516589	0.387428	0.026851	0.061466	0.510178	0.015336	0.774867	0.035758	0.537338	0.04973	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	05	0.005	0.1	0.01	0.06899	0.052169	0.620279	0.133638	0.670743	0.555068	0.186763	0.689156	0.397184	0.626295	0.573983	0.531229	0.212516	0.730827	0.006434	0.732397	0.003099	1.9e-05	0.012986	0.516876	0.418707	0.026873	0.061466	0.480618	0.015251	0.773599	0.014348	0.532612	0.030878	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	01	0.01	0.01	0.001	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	02	0.01	0.01	0.001	0.13385	0.079423	0.629217	0.126302	0.720719	0.77441	0.477761	0.759016	0.33404	0.642315	0.690054	0.572701	0.173164	0.722207	0.003378		0.000683	0.00082	0.015545	0.551199	0.35721	0.02767	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	03	0.01	0.01	0.001	0.080206	0.060533	0.614591	0.129459	0.709513	0.728011	0.103321	0.698648	0.386223	0.649151	0.57791	0.526535	0.184691	0.736819	0.004488		0.00401	0.000615	0.015183	0.557083	0.331649	0.027695	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	04	0.01	0.01	0.001	0.068461	0.058159	0.599649	0.13071	0.688153	0.597471	0.078414	0.672364	0.392739	0.616502	0.592844	0.509472	0.187131	0.724635	0.002013		0.004354	1.5e-05	0.016163	0.525978	0.384327	0.027711	0.061466	0.551607	0.007419	0.783357	0.032268	0.529794	0.03934	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	05	0.01	0.01	0.001	0.069151	0.051296	0.594087	0.130071	0.680344	0.574526	0.071308	0.677904	0.389184	0.619757	0.584331	0.517318	0.191708	0.726084	0.000996	0.741991	0.004303	0.0	0.016661	0.532337	0.424375	0.027725	0.061466	0.496947	0.007412	0.779541	0.016903	0.522656	0.028901	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	01	0.01	0.01	0.005	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	02	0.01	0.01	0.005	0.133843	0.079419	0.629217	0.126292	0.720722	0.774412	0.47776	0.759017	0.334039	0.642316	0.69006	0.572701	0.172491	0.722208	0.003427		0.000686	0.000816	0.015543	0.551203	0.35721	0.026933	0.061395							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	03	0.01	0.01	0.005	0.080206	0.060532	0.614514	0.129481	0.709534	0.728166	0.103074	0.698688	0.386233	0.648968	0.577799	0.526535	0.18402	0.736178	0.00453		0.004011	0.000615	0.015184	0.556522	0.331763	0.026956	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	04	0.01	0.01	0.005	0.06846	0.058156	0.599636	0.130686	0.688206	0.597402	0.078391	0.672379	0.39287	0.616557	0.592795	0.509512	0.186513	0.723953	0.002032		0.004354	1.5e-05	0.01616	0.5248	0.383855	0.026971	0.061466	0.551638	0.01824	0.783291	0.033229	0.528946	0.040543	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	05	0.01	0.01	0.005	0.069162	0.05128	0.594087	0.130061	0.680456	0.574032	0.071314	0.677977	0.389217	0.618735	0.583996	0.516853	0.191204	0.725166	0.000998	0.739848	0.004296	0.0	0.016651	0.530651	0.423807	0.026985	0.061466	0.497207	0.018199	0.778748	0.017569	0.522428	0.029946	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	01	0.01	0.01	0.01	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	02	0.01	0.01	0.01	0.133788	0.079412	0.629217	0.126253	0.72073	0.774415	0.477758	0.75902	0.334051	0.64231	0.69008	0.572701	0.171544	0.722217	0.003496		0.000691	0.000808	0.01549	0.551214	0.35721	0.025937	0.060999							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	03	0.01	0.01	0.01	0.080205	0.060531	0.614417	0.129507	0.709564	0.728339	0.10278	0.698722	0.386242	0.64873	0.577681	0.526519	0.183082	0.735614	0.004586		0.004012	0.000616	0.015185	0.556107	0.331908	0.025959	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	04	0.01	0.01	0.01	0.068461	0.058152	0.599618	0.130574	0.688306	0.597304	0.078359	0.672388	0.393065	0.616156	0.592642	0.509496	0.185683	0.722365	0.002057		0.004352	1.4e-05	0.01615	0.523167	0.383338	0.025973	0.061466	0.55193	0.023377	0.783222	0.034473	0.527438	0.042061	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	05	0.01	0.01	0.01	0.069163	0.051267	0.594083	0.129852	0.680577	0.573634	0.071319	0.67783	0.389221	0.618102	0.58387	0.516638	0.190506	0.724306	0.001005	0.736768	0.004296	0.0	0.016628	0.529977	0.423491	0.025985	0.061466	0.497965	0.023323	0.77868	0.018418	0.522103	0.031254	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	01	0.01	0.01	0.05	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	02	0.01	0.01	0.05	0.13337	0.079361	0.629217	0.125996	0.720833	0.774418	0.477759	0.759084	0.334165	0.642251	0.690132	0.5725	0.164274	0.722384	0.004065		0.000727	0.000742	0.015003	0.550064	0.356861	0.020055	0.057785							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	03	0.01	0.01	0.05	0.080196	0.060514	0.613624	0.129681	0.709828	0.729359	0.100606	0.698788	0.386261	0.647484	0.576967	0.526223	0.175915	0.733514	0.005021		0.004027	0.000626	0.015191	0.554714	0.333022	0.020065	0.061249							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	04	0.01	0.01	0.05	0.068449	0.058082	0.599411	0.131083	0.68951	0.596183	0.078082	0.671849	0.395183	0.611823	0.591742	0.508294	0.179306	0.715034	0.002214		0.004312	7e-06	0.016129	0.512492	0.380588	0.020073	0.061466	0.55599	0.026194	0.773409	0.044086	0.519407	0.053275	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	05	0.01	0.01	0.05	0.069166	0.051227	0.594056	0.130574	0.681616	0.572345	0.071338	0.676833	0.389565	0.616087	0.582971	0.515038	0.184883	0.720903	0.001063	0.717035	0.00427	0.0	0.016572	0.525141	0.422855	0.020079	0.061466	0.503488	0.026132	0.775476	0.025175	0.519723	0.041026	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	01	0.05	0.001	0.001	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	02	0.05	0.001	0.001	0.134382	0.07943	0.629217	0.125688	0.721395	0.765757	0.478534	0.75675	0.329871	0.644647	0.695188	0.569668	0.168634	0.72354	0.003271		0.000684	0.000717	0.01534	0.55095	0.353044	0.02746	0.061378							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	03	0.05	0.001	0.001	0.078254	0.061304	0.599989	0.116064	0.726185	0.7407	0.075659	0.699523	0.377677	0.658802	0.631796	0.531724	0.173218	0.738407	0.004792		0.002445	0.000104	0.015628	0.556969	0.294208	0.027465	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	04	0.05	0.001	0.001	0.068064	0.056824	0.582852	0.11431	0.703927	0.626127	0.053553	0.671433	0.36934	0.638668	0.661536	0.500561	0.176506	0.738543	0.005733		0.003663	0.000157	0.019445	0.546928	0.293468	0.027468	0.061466	0.654419	0.0153	0.809456	0.03945	0.52949	0.048225	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	05	0.05	0.001	0.001	0.067521	0.051168	0.569094	0.118409	0.70487	0.604704	0.048763	0.674371	0.36653	0.64242	0.682514	0.507491	0.178962	0.742892	0.00621	0.734667	0.004162	0.000328	0.023453	0.548943	0.33626	0.027471	0.061466	0.643074	0.015291	0.793442	0.037164	0.528041	0.04722	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	01	0.05	0.01	0.001	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	02	0.05	0.01	0.001	0.134098	0.078787	0.629217	0.128956	0.721258	0.766318	0.477791	0.757496	0.327967	0.644776	0.692069	0.571559	0.171625	0.725855	0.003428		0.000616	0.000854	0.015303	0.550666	0.356728	0.027391	0.061378							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	03	0.05	0.01	0.001	0.079782	0.059972	0.602524	0.117059	0.725575	0.74155	0.071421	0.70145	0.376328	0.659621	0.628942	0.532169	0.175985	0.739691	0.004898		0.002355	7.9e-05	0.015396	0.556322	0.299611	0.027396	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	04	0.05	0.01	0.001	0.066731	0.057312	0.583629	0.115386	0.703469	0.626194	0.053983	0.673737	0.369515	0.64137	0.657451	0.500099	0.179394	0.740223	0.005942		0.003428	0.000142	0.018432	0.546905	0.2959	0.027399	0.061466	0.650107	0.014398	0.809431	0.040982	0.528585	0.051422	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01	MMM1and2	05	0.05	0.01	0.001	0.067415	0.049674	0.56963	0.119941	0.704415	0.603997	0.048825	0.676025	0.366008	0.643748	0.680023	0.507726	0.18188	0.743971	0.006462	0.735725	0.0039	0.000303	0.022236	0.54873	0.338184	0.027401	0.061466	0.638638	0.01439	0.794155	0.038694	0.527165	0.050396	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	01	0.05	0.1	0.001	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	02	0.05	0.1	0.001	0.129915	0.070201	0.629217	0.168854	0.718673	0.768045	0.478718	0.761068	0.318773	0.643713	0.665451	0.57882	0.173688	0.732336	0.00367		0.000386	0.001542	0.015252	0.548372	0.374662	0.027227	0.061378							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	03	0.05	0.1	0.001	0.079748	0.059251	0.616106	0.134795	0.720359	0.743811	0.09811	0.709113	0.367879	0.658679	0.598448	0.53868	0.17757	0.746179	0.005007		0.001773	4e-06	0.013884	0.552808	0.324012	0.027232	0.061466							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	04	0.05	0.1	0.001	0.067211	0.052332	0.601557	0.115146	0.697627	0.624894	0.066068	0.686784	0.369828	0.653356	0.61404	0.504213	0.181131	0.74726	0.006299		0.002564	1e-05	0.014268	0.542181	0.314632	0.027235	0.061466	0.6094	0.012076	0.809613	0.045817	0.522496	0.059852	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	05	0.05	0.1	0.001	0.067277	0.051195	0.582889	0.1135	0.698915	0.598969	0.056619	0.68697	0.364447	0.65667	0.64272	0.511112	0.183642	0.749803	0.007027	0.734595	0.002894	4.3e-05	0.017232	0.544331	0.3489	0.027238	0.061466	0.595642	0.01207	0.799262	0.04326	0.521245	0.058616	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	01	0.05	0.001	0.005	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	02	0.05	0.001	0.005	0.134157	0.079404	0.629217	0.125533	0.721431	0.765765	0.478532	0.75677	0.329923	0.644616	0.695255	0.569667	0.165041	0.723605	0.00354		0.000702	0.000685	0.015082	0.550927	0.352995	0.023557	0.059237							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	03	0.05	0.001	0.005	0.078217	0.061297	0.59976	0.116097	0.726202	0.741102	0.075364	0.699652	0.377699	0.65742	0.631415	0.531639	0.169588	0.736625	0.00508		0.002462	0.000112	0.015631	0.555927	0.294792	0.023559	0.060768							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	04	0.05	0.001	0.005	0.06804	0.056791	0.582842	0.114405	0.704361	0.62566	0.053533	0.671364	0.369955	0.635928	0.661155	0.499915	0.172922	0.733381	0.005999		0.00368	0.00016	0.019456	0.541095	0.292055	0.023561	0.061261	0.655216	0.023614	0.806428	0.048223	0.520459	0.057438	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001	MMM1and2	05	0.05	0.001	0.005	0.067502	0.051228	0.569166	0.118493	0.705606	0.603444	0.048806	0.674011	0.366873	0.640401	0.682243	0.506901	0.17545	0.739047	0.006422	0.728658	0.00418	0.000325	0.023449	0.54449	0.335428	0.023563	0.061455	0.644447	0.023591	0.789529	0.045727	0.520642	0.056363	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	01	0.05	0.1	0.005	0.398248	0.59882	0.629217	0.799324	0.903635	0.666583	0.573047	0.925942	0.290726																					
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	02	0.05	0.1	0.005	0.12969	0.070176	0.629217	0.168545	0.718703	0.768053	0.478715	0.761089	0.318827	0.643676	0.665519	0.578819	0.169627	0.732401	0.003979		0.0004	0.001493	0.014933	0.548351	0.374592	0.023119	0.059237							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	03	0.05	0.1	0.005	0.079706	0.059242	0.615429	0.134799	0.720389	0.744326	0.096965	0.70919	0.367853	0.657223	0.598072	0.538625	0.17348	0.744421	0.005337		0.001789	3e-06	0.013855	0.551708	0.324585	0.02312	0.060749							
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	04	0.05	0.1	0.005	0.067195	0.052323	0.601112	0.115319	0.698243	0.624473	0.065628	0.686659	0.370418	0.649804	0.613629	0.503764	0.17708	0.742026	0.006599		0.002574	1e-05	0.014267	0.536362	0.312566	0.023122	0.061294	0.608971	0.022697	0.805175	0.054694	0.512989	0.068577	
stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1	MMM1and2	05	0.05	0.1	0.005	0.067267	0.051116	0.582636	0.113634	0.699791	0.598073	0.056457	0.686447	0.364813	0.654146	0.642451	0.510218	0.179644	0.745926	0.007299	0.706294	0.002898	4.2e-05	0.017194	0.539639	0.347482	0.023123	0.06146	0.595549	0.022671	0.793762	0.051965	0.513223	0.067289	
