file	mll
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.664738
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.678871
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.667434
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.657020
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.669715
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.651301
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.667111
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.656645
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.669389
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.650815
